date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,a2c_mean,a2c_sd
2020-10-06,1082661.8515274914,1086761.5827363732,1119638.1880782065,1101346.0711470349,1101888.276780728,1098459.194053967,13076.94610383111
2020-10-07,1078380.118865006,1082904.9189668782,1115711.7914030224,1097076.9717954977,1096273.7978479313,1094069.519775667,13062.137212713242
2020-10-08,1079476.9394903702,1084427.179991342,1116780.1934906016,1098053.1444261072,1097727.863439712,1095293.0641676267,12988.15041343306
2020-10-09,1082995.7889055146,1087728.4088303498,1120748.236894101,1102189.01309619,1101506.6501104392,1099033.619567319,13210.728944171246
2020-10-12,1089111.6549088338,1094818.557662715,1127551.8392295784,1109074.7029684505,1108073.9970443978,1105726.150362795,13327.437269057576
2020-10-13,1092875.8770816128,1099279.4523476812,1131706.9602499218,1113652.7973755028,1112764.0753025748,1110055.8324714587,13418.832330734249
2020-10-14,1088957.944907931,1094148.4211648712,1127958.0378324308,1110126.6338647848,1108788.720434937,1105995.9516409908,13695.64145901187
2020-10-15,1089281.8230547402,1093861.390136508,1128646.4053134506,1110739.6934510518,1109289.0258347406,1106363.6675580982,13945.064201355499
2020-10-16,1088599.1372201515,1093188.1066761813,1128058.7952054068,1109964.307760364,1108248.7704222717,1105611.823456875,13953.812247740118
2020-10-19,1086709.3015802496,1091622.8270956664,1126473.8309487847,1108385.3764256751,1106428.538539486,1103923.9749179725,14016.676961592802
2020-10-20,1082527.0027217036,1086220.855439263,1122353.6568090264,1104363.88401827,1101791.1517557746,1099451.3101488075,14252.037307149414
2020-10-21,1082343.9037799274,1086384.612352935,1122041.7292162804,1104344.5369768443,1101437.9635160074,1099310.5491683988,14152.882178034986
2020-10-22,1084403.3219451709,1087966.3573329055,1124043.9943525116,1106563.9426577876,1103557.0668382568,1101306.9366253265,14236.405709324004
2020-10-23,1080745.8268697674,1083900.2278536705,1119624.986725659,1102628.147176057,1099782.2532218485,1097336.2883694004,14046.663113056089
2020-10-26,1083051.5158318214,1086009.3537982006,1122022.0769606454,1104784.3160286762,1101996.2540256102,1099572.7033289908,14099.099036287736
2020-10-27,1080426.9968346402,1083763.5349430451,1118323.9180706502,1102544.8480034042,1096421.663390037,1096296.1922483551,13661.486074843546
2020-10-28,1082105.6422925398,1085197.7655317097,1120421.277002019,1104437.982232267,1098506.329203368,1098133.7992523808,13862.582371264974
2020-10-29,1070631.7933612124,1074404.9365440102,1109420.2817397371,1094693.0436872563,1082995.727371975,1086429.156540838,14161.996006911575
2020-10-30,1069748.496105902,1072771.2906960123,1107724.6215914893,1093168.0592024492,1082624.550577427,1085207.403634656,13933.434598153322
2020-11-02,1066068.867984888,1068768.9923340925,1103517.2697860335,1089345.9316038238,1078404.520016012,1081221.11634497,13825.413692805976
2020-11-03,1070010.5631546206,1074421.2447841598,1109814.366641991,1094785.1339013202,1084395.6605943118,1086685.3938152806,14382.332082958897
2020-11-04,1073484.671208121,1077979.8122625125,1113180.4057808537,1098915.7066808466,1087964.9087516745,1090305.1009368016,14406.513801840209
2020-11-05,1083391.5285436648,1087946.7429930563,1122926.478743584,1107857.139068602,1098258.8648643915,1100076.1508426596,14223.100557339478
2020-11-06,1094640.5801435814,1099799.0000766956,1134558.7370768236,1119353.496647617,1110324.4338249145,1111735.2495539265,14252.308208436112
2020-11-09,1092976.4739220822,1097745.0280820422,1132334.3572699495,1117398.648917744,1108373.255470432,1109765.55273245,14113.254532271649
2020-11-10,1078011.5421335,1081360.532011251,1115745.67649758,1102053.6074824382,1094392.692338705,1094312.8100926948,13804.252477468395
2020-11-11,1076984.248122356,1080748.8616580723,1114937.0699027004,1101018.4687940874,1093368.6663209083,1093411.4629596248,13794.31029531729
2020-11-12,1078173.8824392536,1081623.7502736554,1116401.425765904,1102140.93932872,1095047.6483215762,1094677.5292258218,13932.255105194581
2020-11-13,1080418.4037577996,1084587.84943661,1119472.2975689727,1105311.3763509882,1096917.6165466253,1097341.5087321992,14159.926527961827
2020-11-16,1085826.46549876,1089666.412539485,1124813.0473543697,1110243.0851251131,1102193.7490406097,1102548.5519116675,14146.499019710232
2020-11-17,1087436.6412500157,1091981.7558692617,1127264.4371963434,1112746.8857237808,1104612.8315240715,1104808.5103126946,14377.984635145667
2020-11-18,1087330.8185976164,1092017.181909087,1126898.6533510506,1112783.975189519,1104643.992741006,1104734.924357656,14287.54871235956
2020-11-19,1084071.45623816,1089573.041276137,1124242.6192654427,1110332.348851423,1101856.3249356635,1102015.1581133653,14422.507600248779
2020-11-20,1085773.4813861824,1091086.2841808654,1126106.096849742,1112088.8162244102,1103516.1945301236,1103714.1746342648,14511.403032883223
2020-11-23,1086748.8279162587,1092023.8308195868,1127158.896678964,1112834.60072469,1104879.6559944942,1104729.1624267986,14515.726900832258
2020-11-24,1081051.2277122857,1086604.1585931762,1121631.6306136665,1107176.3532529385,1099042.9801616438,1099101.270066742,14524.526406956189
2020-11-25,1079338.2170787577,1085171.1512601806,1119644.6638906505,1104809.776291009,1097055.14287954,1097203.7902800278,14320.817261935472
