date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-06-10,1022918.8124991412,998089.5420238412,1010504.4639655252,1007528.5978034822,1000601.3283978336,1007928.5489379646,8740.680965149237
2019-06-11,1017105.3430023282,994943.0704207788,1008823.8566724076,1002391.8842601398,996732.5324776624,1003999.3373666633,8154.136374051857
2019-06-12,1016547.9445919632,994180.4914116045,1007830.2013021292,1001501.0971169733,995993.822969042,1003210.7114783425,8194.78625509075
2019-06-13,1015621.5180011864,993919.0466616882,1007435.9097323464,1003179.3952156152,996956.717680954,1003422.5174583581,7708.496145920898
2019-06-14,1017110.9707711054,996655.595137522,1009566.0320519346,1006045.804478014,999128.460575338,1005701.3726027828,7352.039428739933
2019-06-17,1015970.9677427488,996507.1962952772,1008797.2210130618,1006288.4512083426,998471.5592583332,1005207.0791035527,7084.842576367092
2019-06-18,1015628.291872769,995648.720339602,1008561.876918724,1006386.6033405832,997881.0067501,1004821.2998443557,7287.483126457077
2019-06-19,1020163.5231693632,1000882.1783140558,1012749.4173421375,1010631.524405736,1002538.642273078,1009393.0571008741,7045.849203924896
2019-06-20,1022351.2036920526,1004036.2738065948,1014370.77509707,1013111.8744829344,1004998.9818754416,1011773.8217908187,6725.8258088272405
2019-06-21,1030907.4806022616,1012624.2440565516,1022989.8387737776,1023746.4066409854,1015310.9501884006,1021115.7840523955,6513.246891015151
2019-06-24,1026287.6045545116,1009181.2085072424,1018825.6392966072,1021866.1966419644,1013316.708571436,1017895.4715143524,6065.69397431879
2019-06-25,1031308.1295586848,1010626.390397531,1025406.661777795,1027903.621275767,1020485.5873453344,1023146.0780710224,7185.8796381630755
2019-06-26,1031564.374526086,1009423.3581223098,1025774.467547405,1028704.9382403032,1021138.57125598,1023321.1419384169,7757.151054883669
2019-06-27,1025027.0409374514,1004396.8931184552,1020607.0455226572,1022679.9406073052,1014714.0830815162,1017485.000653477,7383.6776740733085
2019-06-28,1027755.3445198836,1005665.3802097064,1023975.2199117552,1024857.5849375892,1015295.1115580992,1019509.7282274067,8074.148142346643
2019-07-01,1028405.86561745,1006332.7905497152,1024633.861166976,1025874.7593924644,1015727.0778977028,1020194.8709248618,8142.538278402599
2019-07-02,1025126.0308420046,999415.7993077054,1022843.1947162254,1018623.6247357643,1010032.4764319588,1015208.2252067316,9428.78224511167
2019-07-03,1032164.482687905,1010170.4424568192,1031511.2457930848,1029076.9012043556,1020037.7654543482,1024592.1675193027,8414.929225422427
2019-07-05,1036017.5034567668,1013227.936047988,1034943.655828742,1033051.4012081708,1023977.3546359309,1028243.5702355197,8626.821998191956
2019-07-08,1028870.0192163794,1005556.4063563164,1025475.5824512872,1024071.2715042506,1015061.90907712,1019807.0377210707,8462.274668694528
