date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-07-22,223.02532618910027,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-23,2.811965989585398,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-24,643.4265489721156,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-27,313.6187873455747,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-28,702.4039742986936,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-29,574.3922694738493,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-30,561.7698443761448,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-31,1.98785020495223,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-03,866.9235801930686,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-04,109.15297171441944,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-05,563.1144885220933,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-06,1133.6359503916094,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-07,6.254173272739599,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-10,564.7386502114995,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-11,0.8874407001482281,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-12,565.334092385163,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-13,986.8349783926359,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-14,319.23780841936235,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-17,856.1924322422389,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-18,776.2993780030458,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-19,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-20,650.7746726425803,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-21,644.1174035523735,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-24,796.6345090151012,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-25,899.8276425951705,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-26,717.8523546538783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-27,669.7250859753012,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-28,529.6982396023676,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-08-31,471.8678349779505,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-01,540.2669631218166,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-02,1098.5324588380809,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-03,23.635387192549526,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-04,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-08,776.3717397188394,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-09,770.7767386279755,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-10,780.8836554452911,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-11,786.8468632946484,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-14,772.8178613915567,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-15,1274.4966182732442,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-16,641.779439419475,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-17,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-18,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-09-21,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
