date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ppo_mean,ppo_sd
2019-06-14,983152.7816513391,988437.5233145108,987378.3941863028,996660.9068069928,1000375.1900026436,991200.959192358,6340.3356649818115
2019-06-17,983175.9274947428,987168.3271416052,987068.7897385858,996439.4727006844,999832.7264940026,990737.0487139241,6302.562102285576
2019-06-18,983072.8982630514,986757.4452788668,986892.424855784,995897.2481394444,998879.6063246976,990299.9245723689,6022.144023929769
2019-06-19,987406.2943383196,991624.5611593472,990066.3220624458,998871.9676710394,1002343.4409009774,994062.5172264259,5620.018135072414
2019-06-20,988908.4789003794,993445.9068955434,990886.0646859404,1000916.8821986754,1004591.5031299308,995749.7671620939,6010.69000548876
2019-06-21,997782.5400901797,1003250.5179946038,1000618.8707259136,1011887.496327808,1014061.9997992184,1005520.2849875446,6364.757218285816
2019-06-24,996026.3772345304,1001507.4923819008,997095.6326325212,1009964.3291581556,1011624.5884103136,1003243.6839634844,6454.595943596517
2019-06-25,998549.360649271,1006643.5340497276,999959.762506204,1015392.2884757032,1015321.7317640828,1007173.3354889977,7219.9282106247965
2019-06-26,997964.231451615,1005604.3619269964,1000091.868335408,1014550.0503304286,1015226.5046134696,1006687.4033315836,7148.4999370225305
2019-06-27,993045.1456941256,1000467.0862809065,994463.190385084,1009321.3252848024,1009872.5541353596,1001433.8603560555,7117.85194196872
2019-06-28,995238.551644636,1002883.4253650268,995720.122489606,1010079.0750411224,1012484.2797588336,1003281.0908598449,7112.244264774129
2019-07-01,995547.1937397376,1004420.4710405668,995372.9534772428,1010770.3494863514,1013300.850580832,1003882.3636649462,7460.923849403356
2019-07-02,991646.5411739072,1003452.6335523744,991490.2934130108,1002943.8409184716,1008725.7644057987,999651.8146927126,6903.8403483941365
2019-07-03,997698.2553083834,1011577.8095080036,998340.6651459002,1010169.0118880844,1013914.2940503052,1006340.0071801353,6901.232067747825
2019-07-05,999145.92590199,1015400.0384582792,1000362.4146091316,1013114.6039160975,1016996.4410815568,1009003.884793411,7662.168229426218
2019-07-08,992293.0479734244,1007188.3962190676,993281.712180646,1006629.9593317286,1010431.4138745106,1001964.9059158753,7611.465310128114
2019-07-09,988168.402974654,1005480.3376099508,990494.2710209462,1003370.1431141282,1009147.2052410432,999332.0719921446,8404.501902260787
2019-07-10,988164.0152018154,1005369.2428046914,990718.4114462992,1003867.9736087164,1009155.5942621022,999455.047464725,8394.860931787118
2019-07-11,990575.5958390286,1009202.9990556128,992658.349139296,1007627.4861793156,1012278.6599070984,1002468.6180240702,9009.862180449094
2019-07-12,988161.7783737836,1004183.3765115716,987530.59481191,1001420.6258195057,1005943.4518721084,997447.9654777758,7973.8145566065095
2019-07-15,991172.2999707862,1006630.5490092664,990723.8686398076,1005534.7271135042,1008875.724255524,1000587.4337977776,7945.1289974274005
2019-07-16,991595.0537152628,1007409.0677417276,991873.8420328106,1005561.8930448276,1008859.7157004646,1001059.9144470186,7686.143031699429
2019-07-17,988188.9742424438,1003673.2025430588,987944.0572393804,1001160.7949128932,1004339.781957565,997061.3621790683,7420.804447919073
2019-07-18,995027.8929759532,1009790.4582978444,992653.3447820971,1005327.5001952362,1009351.613004228,1002430.1618510718,7222.946155554665
2019-07-19,998520.385671165,1015421.467861411,997098.536252648,1010853.1338203116,1012618.0563625104,1006902.3159936093,7579.253936249138
2019-07-22,993733.2019691102,1010755.3433437492,992504.273627232,1004464.5654024382,1006474.659620652,1001586.4087926364,7216.733042124882
