Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2023-04-04,717910.9851477204,-8.25%,14.39%,-0.78,-40.19%
2023-04-05,716274.9420712868,-8.25%,14.39%,-0.78,-40.19%
2023-04-06,715067.1038826111,-8.25%,14.39%,-0.78,-40.19%
2023-04-10,711705.0425415316,-8.25%,14.39%,-0.78,-40.19%
2023-04-11,713390.5301540503,-8.25%,14.39%,-0.78,-40.19%
2023-04-12,712988.6772727061,-8.25%,14.39%,-0.78,-40.19%
2023-04-13,722046.9120764642,-8.25%,14.39%,-0.78,-40.19%
2023-04-14,715628.6662995135,-8.25%,14.39%,-0.78,-40.19%
2023-04-17,715975.6794591042,-8.25%,14.39%,-0.78,-40.19%
2023-04-18,716764.2722183072,-8.25%,14.39%,-0.78,-40.19%
2023-04-19,715728.8569934325,-8.25%,14.39%,-0.78,-40.19%
2023-04-20,713913.9651413102,-8.25%,14.39%,-0.78,-40.19%
2023-04-21,712939.55822363,-8.25%,14.39%,-0.78,-40.19%
2023-04-24,713468.0983263635,-8.25%,14.39%,-0.78,-40.19%
2023-04-25,703460.2463789231,-8.25%,14.39%,-0.78,-40.19%
2023-04-26,697871.4367580363,-8.25%,14.39%,-0.78,-40.19%
2023-04-27,704280.1445632748,-8.25%,14.39%,-0.78,-40.19%
2023-04-28,710261.3173883761,-8.25%,14.39%,-0.78,-40.19%
2023-05-01,702823.66636368,-8.25%,14.39%,-0.78,-40.19%
2023-05-02,697818.789609607,-8.25%,14.39%,-0.78,-40.19%
2023-05-03,700654.5703837912,-8.25%,14.39%,-0.78,-40.19%
2023-05-04,705256.0165932348,-8.25%,14.39%,-0.78,-40.19%
2023-05-05,694220.2053701512,-8.25%,14.39%,-0.78,-40.19%
2023-05-08,693505.920710742,-8.25%,14.39%,-0.78,-40.19%
2023-05-09,694759.3043103657,-8.25%,14.39%,-0.78,-40.19%
2023-05-10,694980.3394143019,-8.25%,14.39%,-0.78,-40.19%
2023-05-11,691150.1929234352,-8.25%,14.39%,-0.78,-40.19%
2023-05-12,690117.9413853997,-8.25%,14.39%,-0.78,-40.19%
2023-05-15,690474.3403973088,-8.25%,14.39%,-0.78,-40.19%
2023-05-16,682357.2216577663,-8.25%,14.39%,-0.78,-40.19%
2023-05-17,682804.9143942619,-8.25%,14.39%,-0.78,-40.19%
2023-05-18,687874.8666820746,-8.25%,14.39%,-0.78,-40.19%
2023-05-19,686873.9528484484,-8.25%,14.39%,-0.78,-40.19%
2023-05-22,686092.2063354817,-8.25%,14.39%,-0.78,-40.19%
2023-05-23,677839.3333176754,-8.25%,14.39%,-0.78,-40.19%
2023-05-24,672928.5153910926,-8.25%,14.39%,-0.78,-40.19%
2023-05-25,678756.037968107,-8.25%,14.39%,-0.78,-40.19%
2023-05-26,687546.2969620699,-8.25%,14.39%,-0.78,-40.19%
2023-05-30,687808.1534099089,-8.25%,14.39%,-0.78,-40.19%
2023-05-31,683994.202339863,-8.25%,14.39%,-0.78,-40.19%
2023-06-01,690492.8809053676,-8.25%,14.39%,-0.78,-40.19%
2023-06-02,700478.112324996,-8.25%,14.39%,-0.78,-40.19%
2023-06-05,699135.8521187644,-8.25%,14.39%,-0.78,-40.19%
2023-06-06,700658.1709896033,-8.25%,14.39%,-0.78,-40.19%
2023-06-07,698235.5207417462,-8.25%,14.39%,-0.78,-40.19%
2023-06-08,702458.8645033756,-8.25%,14.39%,-0.78,-40.19%
2023-06-09,703719.2233908457,-8.25%,14.39%,-0.78,-40.19%
2023-06-12,710103.3850900554,-8.25%,14.39%,-0.78,-40.19%
2023-06-13,714784.9621627615,-8.25%,14.39%,-0.78,-40.19%
2023-06-14,715636.2285906387,-8.25%,14.39%,-0.78,-40.19%
2023-06-15,724049.8019332209,-8.25%,14.39%,-0.78,-40.19%
2023-06-16,721438.5560212127,-8.25%,14.39%,-0.78,-40.19%
2023-06-20,717723.8264026064,-8.25%,14.39%,-0.78,-40.19%
2023-06-21,714914.936346638,-8.25%,14.39%,-0.78,-40.19%
2023-06-22,712879.0204289784,-8.25%,14.39%,-0.78,-40.19%
2023-06-23,707981.6095324334,-8.25%,14.39%,-0.78,-40.19%
2023-06-26,705689.5169882488,-8.25%,14.39%,-0.78,-40.19%
2023-06-27,709917.8781937013,-8.25%,14.39%,-0.78,-40.19%
2023-06-28,711002.1877746296,-8.25%,14.39%,-0.78,-40.19%
2023-06-29,709476.0625939547,-8.25%,14.39%,-0.78,-40.19%
