Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2023-04-14,90196.31553140702,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-17,89362.18194523551,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-18,88968.04869028628,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-19,89196.25643362467,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-20,88942.55338604713,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-21,89182.56575435126,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-24,88883.07756742225,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-25,89153.57118897975,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-26,89385.53864685268,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-27,88895.98422073633,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-28,89080.82652275304,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-05-01,89251.9143636019,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-05-02,88273.59436668456,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-05-03,89144.78683003139,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-05-04,89566.82770912533,-0.51%,9.97%,-0.35,-0.22874370712909076
