Date,portfolio_values,daily_return
2023-12-12,879445.1975566022,-0.004309954
2023-12-13,882125.2289,0.003047411
2023-12-14,899429.6318,0.019616719
2023-12-15,909014.1808652948,0.010656252232284613
2023-12-18,905941.5962810342,-0.003380128
2023-12-19,905329.3859585264,-0.000675772
2023-12-20,907898.3963416896,0.002837653
2023-12-21,905266.0920674112,-0.002899338
2023-12-22,910070.6507,0.005307344
2023-12-26,910013.5282087084,-6.28E-05
2023-12-27,913354.7650557808,0.003671634
2023-12-28,920042.5753398736,0.007322248
2023-12-29,917859.4994,-0.002372799
2024-01-02,915360.2614898592,-0.002722898
2024-01-03,910483.1355228114,-0.005328094
2024-01-04,905584.7567507378,-0.005379977
2024-01-05,899298.8667,-0.00694125
2024-01-08,897526.9059700366,-0.00197038
2024-01-09,902065.8923,0.005057215
2024-01-10,899691.4946639516,-0.002632178
2024-01-11,897436.6445369466,-0.002506248
2024-01-12,899640.5315309908,0.002455758
2024-01-16,902474.9174116832,0.003150576
2024-01-17,891829.3906193587,-0.011795925
2024-01-18,886399.5267,-0.006088456
2024-01-19,888170.0778362245,0.001997464
2024-01-22,892382.9363090169,0.004743302
2024-01-23,893517.9284710349,0.001271867
2024-01-24,892949.2986796588,-0.000636394
2024-01-25,891258.5583118604,-0.001893434
2024-01-26,894562.9037297707,0.003707505
2024-01-29,893232.0117452106,-0.001487757
2024-01-30,899896.6961214993,0.007461314
2024-01-31,901929.7918969484,0.002259255
2024-02-01,900979.1776954456,-0.001053978
2024-02-02,912046.3102440132,0.012283449853830675
2024-02-05,904018.4092063692,-0.008802076
2024-02-06,896698.5231953296,-0.008097054
2024-02-07,901898.7672031324,0.005799323
2024-02-08,902232.4117,0.000369936
2024-02-09,898941.6120270283,-0.003647397
2024-02-12,899096.5036676077,0.000172304
2024-02-13,898601.7709732233,-0.000550255
2024-02-14,886388.3131330451,-0.013591624
2024-02-15,889614.2072,0.003639369
2024-02-16,894842.8491030752,0.005877426
2024-02-20,892746.4766397222,-0.002342727
2024-02-21,893389.4720649939,0.000720244
2024-02-22,891726.5536524537,-0.001861359
2024-02-23,897053.7702493656,0.005974047
2024-02-26,901514.4062064072,0.00497254
2024-02-27,899331.7178,-0.002421135
2024-02-28,898144.302,-0.001320331
2024-02-29,899460.2907773205,0.001465231
2024-03-01,904037.5389159744,0.005088883
2024-03-04,911549.0266380928,0.008308823
2024-03-05,913556.9663227358,0.002202777
2024-03-06,916829.4932493126,0.003582182
2024-03-07,922071.8787184268,0.00571795
2024-03-08,927423.4236607624,0.005803826
2024-03-11,929173.9851770794,0.001887554
2024-03-12,929500.3724676344,0.000351266
2024-03-13,926262.0067891376,-0.003483985
2024-03-14,926288.289,2.837449716674989e-05
2024-03-15,920494.7704,-0.006254552
2024-03-18,916963.2656662596,-0.003836529
2024-03-19,917891.6927440468,0.001012502
2024-03-20,916739.9366541746,-0.001254784
2024-03-21,921104.9894929331,0.004761495
2024-03-22,921483.6009080252,0.00041104
2024-03-25,921816.3649870086,0.000361118
2024-03-26,920725.6217996334,-0.001183254
2024-03-27,921496.8152329312,0.000837593
2024-03-28,927800.1366973836,0.006840307
2024-04-01,930476.3540786715,0.002884476
2024-04-02,927616.1086121324,-0.003073958
2024-04-03,928403.3179019672,0.000848637
2024-04-04,930492.0942566532,0.002249859
2024-04-05,928634.4298442982,-0.001996432
2024-04-08,931195.1469504724,0.002757508
2024-04-09,932407.0428,0.001301441
2024-04-10,936279.1142043712,0.004152769
2024-04-11,924740.3312,-0.012324085
2024-04-12,929583.5751980046,0.00523741
2024-04-15,924425.7512064748,-0.005548532
2024-04-16,920820.0999792994,-0.003900423
2024-04-17,918463.6344951309,-0.002559094
2024-04-18,918421.4090245852,-4.60E-05
2024-04-19,917154.9979856884,-0.0013789
2024-04-22,916774.2067,-0.000415187
2024-04-23,912493.2828,-0.004669551
2024-04-24,914754.5312,0.002478099
2024-04-25,911914.3182796608,-0.003104891
2024-04-26,910273.7779623272,-0.001799007
2024-04-29,911071.3612575168,0.000876202
2024-04-30,916082.8158702006,0.005500617
2024-05-01,903386.2904,-0.013859583
2024-05-02,906595.0810729604,0.003551959
2024-05-03,915275.1743,0.009574388
2024-05-06,920623.2728973489,0.005843159
2024-05-07,924871.7104,0.00461474
2024-05-08,924511.4958375448,-0.000389475
2024-05-09,920947.3330250676,-0.003855185
2024-05-10,927262.3004,0.006857034
2024-05-13,927552.895,0.00031339
2024-05-14,925070.5393058212,-0.002676242
2024-05-15,928964.7039,0.004209587
2024-05-16,940387.1852703636,0.012295926090131859
2024-05-17,937971.4624463296,-0.00256886
2024-05-20,940321.3769360408,0.002505316
2024-05-21,939895.1491423332,-0.000453279
2024-05-22,941496.7144808488,0.001703983
2024-05-23,935903.4687108388,-0.005940802
2024-05-24,927705.5987921896,-0.008759311
2024-05-28,930142.4695,0.002626772
2024-05-29,929061.1972874254,-0.00116248
2024-05-30,921595.3137279014,-0.008035944
2024-05-31,923987.3770202014,0.002595568
2024-06-03,925717.8084300592,0.001872787
2024-06-04,933286.8628010824,0.008176417
2024-06-05,936344.8630353452,0.003276592
2024-06-06,941660.0393559056,0.005676516
2024-06-07,943677.9314346268,0.002142909
2024-06-10,928858.8049515696,-0.015703585
2024-06-11,929763.6460862502,0.000974143
2024-06-12,933430.8336,0.003944215
2024-06-13,938078.3875872836,0.004979002
2024-06-14,939768.6477923702,0.001801833
2024-06-17,944454.8392545956,0.004986537
2024-06-18,942121.3136927272,-0.002470765
2024-06-20,945704.1703148348,0.003802967
2024-06-21,944825.2801022072,-0.00092935
2024-06-24,939956.2848007438,-0.005153329
2024-06-25,940951.2079411512,0.001058478
2024-06-26,941088.7029735498,0.000146123
2024-06-27,934145.3043637292,-0.007378049
2024-06-28,938129.2629,0.004264817
2024-07-01,932783.0271369502,-0.005698826
2024-07-02,928832.3089986691,-0.00423541
2024-07-03,932273.1117888415,0.003704439
2024-07-05,939001.5550202494,0.007217245
2024-07-08,946488.9391159572,0.007973772
2024-07-09,944338.6838410858,-0.002271823
2024-07-10,943186.6877981944,-0.001219897
2024-07-11,946424.7823513484,0.003433143
2024-07-12,955139.634,0.009208182
2024-07-15,959116.4779115302,0.004163626
2024-07-16,957670.3538411036,-0.001507767
2024-07-17,966461.8031428824,0.009180037
2024-07-18,965520.1521965802,-0.000974328
2024-07-19,958324.2853911396,-0.00745284
2024-07-22,950781.3696429828,-0.007870943
2024-07-23,953385.5721937506,0.002739013
2024-07-24,955741.1496397104,0.00247075
2024-07-25,949398.3290531146,-0.006636547
2024-07-26,946432.9106,-0.003123471
2024-07-29,953697.4206269038,0.007675674
2024-07-30,954348.5343728132,0.000682726
2024-07-31,957513.7808646752,0.003316657
2024-08-01,973626.4230156302,0.016827583
2024-08-02,971638.1238184175,-0.002042158
2024-08-05,979613.2712,0.00820794
2024-08-06,975442.2515128284,-0.004257823
2024-08-07,968654.6235462788,-0.006958513
