Date,SPY,TLT,GLD,FXY
2013-01-03,116.34586334228516,82.71967315673828,161.1999969482422,112.37000274658203
2013-01-04,116.8567886352539,83.04235076904297,160.44000244140625,111.25
2013-01-07,116.53744506835938,83.077392578125,159.42999267578125,111.75
2013-01-08,116.20215606689453,83.62445068359375,160.55999755859375,112.6500015258789
2013-01-09,116.49751281738281,83.54730987548828,160.49000549316406,111.72000122070312
2013-01-10,117.42364501953125,83.31584930419922,161.97999572753906,111.08000183105469
2013-01-11,117.41564178466797,84.0593032836914,161.05999755859375,109.91999816894531
2013-01-14,117.33578491210938,83.82787322998047,161.5399932861328,109.58000183105469
2013-01-15,117.41564178466797,84.213623046875,162.55999755859375,110.37000274658203
2013-01-16,117.39973449707031,84.38895416259766,162.64999389648438,110.93000030517578
2013-01-17,118.15813446044922,83.54730987548828,163.35000610351562,109.12999725341797
2013-01-18,118.42162322998047,84.19264221191406,163.08999633789062,108.87999725341797
2013-01-22,119.06031799316406,84.35395050048828,163.6699981689453,110.48999786376953
2013-01-23,119.25191497802734,84.22763061523438,163.2100067138672,110.52999877929688
2013-01-24,119.28386688232422,83.9330825805664,161.4199981689453,108.66000366210938
2013-01-25,119.95448303222656,82.7828598022461,160.64999389648438,107.81999969482422
2013-01-28,119.81072235107422,82.48126983642578,160.2899932861328,107.97000122070312
2013-01-29,120.28179931640625,82.02530670166016,160.99000549316406,108.05000305175781
2013-01-30,119.81072235107422,81.88507843017578,162.19000244140625,107.5999984741211
2013-01-31,119.51538848876953,82.2848892211914,161.1999969482422,107.18000030517578
2013-02-01,120.74486541748047,81.21639251708984,161.4499969482422,105.55999755859375
2013-02-04,119.38761138916016,82.25672912597656,162.0,106.23999786376953
2013-02-05,120.59315490722656,81.52566528320312,161.9600067138672,104.77999877929688
2013-02-06,120.68098449707031,82.19349670410156,162.38999938964844,104.8499984741211
2013-02-07,120.52130126953125,82.01070404052734,161.83999633789062,104.70999908447266
2013-02-08,121.19194030761719,82.32703399658203,161.57000732421875,105.69000244140625
2013-02-11,121.16802215576172,82.26377868652344,159.6999969482422,104.41999816894531
2013-02-12,121.3675308227539,82.05995178222656,159.88999938964844,104.76000213623047
2013-02-13,121.47129821777344,81.39210510253906,159.0500030517578,104.8499984741211
2013-02-14,121.5831298828125,82.1302261352539,158.35000610351562,105.68000030517578
2013-02-15,121.43948364257812,81.89122009277344,155.75999450683594,104.79000091552734
2013-02-19,122.3495864868164,81.48352813720703,155.3300018310547,104.7699966430664
2013-02-20,120.82469177246094,81.7295150756836,151.44000244140625,104.81999969482422
2013-02-21,120.09020233154297,82.2074966430664,152.6199951171875,105.2699966430664
