Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2023-01-31,903380.7941444333,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-01,909146.9222393716,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-02,917068.9685028977,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-03,920179.01901401,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-06,910200.7894334809,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-07,905202.0046032859,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-08,908423.5644884425,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-09,906039.2206711024,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-10,901855.5692831925,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-13,899830.095267202,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-14,903648.3431994659,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-15,903097.665461521,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-16,901659.098180454,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-17,896655.4320496289,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-21,897649.984074369,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-22,888611.5774674832,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-23,888951.7439027044,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-24,891881.0476483465,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-27,885322.6549674863,1.24%,7.56%,-0.23,-0.1693277893517734
2023-02-28,888129.9005017343,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-01,888452.8599257976,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-02,886144.8080418328,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-03,885659.9754744503,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-06,894203.8758628947,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-07,891798.819949862,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-08,886098.6244876221,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-09,886556.2234697336,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-10,884923.457540899,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-13,888654.5495948519,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-14,893860.6165413251,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-15,894678.6457247126,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-16,897125.0788711592,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-17,900102.7067590117,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-20,902987.5048174544,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-21,904641.4960304634,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-22,904152.2003800807,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-23,905304.0508474866,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-24,908285.7015317725,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-27,908753.910176234,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-28,904590.4138286768,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-29,905377.0247805883,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-30,906858.2781139241,1.24%,7.56%,-0.23,-0.1693277893517734
2023-03-31,909862.6886921637,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-03,914620.7269669699,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-04,917308.9597987818,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-05,919195.1356651507,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-06,918565.422574179,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-10,918902.7312783194,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-11,915069.7129404035,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-12,916049.9601794593,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-13,915978.7852216978,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-14,920390.5485041231,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-17,915102.796390438,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-18,913555.5292012228,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-19,914603.175692165,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-20,913596.2502679628,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-21,914422.4209923507,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-24,913363.3407083723,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-25,915264.9596988412,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-26,913585.2520895627,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-27,911534.4110999056,1.24%,7.56%,-0.23,-0.1693277893517734
2023-04-28,914521.1303210811,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-01,917887.3584420965,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-02,912258.5881158636,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-03,914949.8497027159,1.24%,7.56%,-0.23,-0.1693277893517734
2023-05-04,917618.6246537063,1.24%,7.56%,-0.23,-0.1693277893517734
