date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,sac_mean,sac_sd
2020-12-21,1139008.1833420717,1135651.9453618862,1128062.542823825,1139030.148069305,1144160.596719723,1137182.6832633622,5309.556913922727
2020-12-22,1138291.6368362403,1134865.6916184002,1127370.51900007,1138328.589267896,1143458.8514533213,1136463.0576351855,5310.195445286182
2020-12-23,1136612.4590300568,1133153.1815876442,1125722.6428521606,1136654.279905177,1141787.3880234726,1134785.9902797022,5303.892823282484
2020-12-24,1137099.7387178403,1133708.1206239483,1126240.3994855694,1137186.9095674714,1142311.924238605,1135309.4185266867,5302.387510961236
2020-12-28,1139395.3876200805,1136011.813000112,1128493.8862409997,1139507.9687381329,1144642.5584119046,1137610.322802246,5327.372773410096
2020-12-29,1140195.441657101,1136866.417841585,1129292.4215943862,1140328.4119860702,1145477.789703923,1138432.096556613,5335.394986902311
2020-12-30,1140987.7763632196,1137622.7858483235,1130047.5575973764,1141120.1717925223,1146267.1402775997,1139209.0863758083,5349.431172441068
2020-12-31,1144186.2275282694,1140849.4373177048,1133195.878607458,1144359.5774664986,1149514.0320159534,1142421.0305871768,5380.667021222527
2021-01-05,1001646.4249717058,1001598.8544550614,1001660.6443760168,1001623.15009174,1001634.2693003252,1001632.6686389698,21.01638620315182
2021-01-06,1002973.6387042684,1002945.7946658178,1002967.8454401512,1002949.1840504314,1002966.0117753046,1002960.4949271947,10.965930396087025
2021-01-07,996202.6510028584,996249.8647426016,995840.5603860484,996223.1352425768,996238.0844256334,996150.8591599439,155.94993335446006
2021-01-08,995412.6982076884,995521.6665619748,994716.617158336,995453.4619020614,995481.6584038244,995317.220446777,302.4037376720804
2021-01-11,988846.0712178858,989005.0815379524,987401.173090734,988931.2739675542,988935.7060773396,988623.8611782932,613.4202943881118
2021-01-12,986362.3113255752,986516.983050843,984985.3842142274,986455.0228606112,986456.4715140408,986155.2345930595,587.0109567351572
2021-01-13,988382.7672153364,988527.3193978464,987008.9542770472,988463.9055696792,988468.2924535362,988170.2477826889,582.4659261330428
2021-01-14,990009.8749023904,990142.563880502,988583.6968906173,990085.7274369398,990085.1075902764,989781.3941401452,600.3309682035157
2021-01-15,987670.226404342,987825.2597176664,986261.428624698,987766.8640844245,987766.1675860204,987457.9892834302,600.3444155248474
