date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2024-10-08,0.48183239,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-09,0.4203117,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-10,0.37997773,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-11,0.68046695,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-14,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-15,0.3572884,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-16,0.31192678,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-17,0.35974973,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-18,0.40146112,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-21,0.27808964,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-22,0.27230513,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-23,0.43031633,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-24,0.29462323,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-25,0.20587586,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-28,0.27865666,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-29,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-30,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-31,0.06260118,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-01,0.31870204,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-04,0.43829986,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-05,0.21786375,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-06,0.078654185,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-07,0.31283253,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-08,0.33716327,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-11,0.2133095,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-12,0.20621935,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-13,0.06777996,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-14,0.15540662,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-15,0.28062466,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-18,0.073054016,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-19,0.18882392,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-20,0.22215892,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-21,0.06410226,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-22,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-25,0.76260644,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-26,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-27,0.09454508,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-29,0.28675812,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-02,0.21715263,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-03,0.1641506,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-04,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-05,0.32777953,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-06,0.3610028,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-09,0.3139104,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-10,0.17259113,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-11,0.38847756,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-12,0.35530055,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-13,0.4101119,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-16,0.28153646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-17,0.2735571,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-18,0.2735571,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-19,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-20,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-23,0.010767743,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-24,0.27986354,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-26,0.28153646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-27,0.26960683,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-12-30,0.42751938,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
